,Name,Score,Numberofscore,Review,Link,Addr1,Addr2,Typename,Latitude,Longtitude,Typenum,Dong,Challenge,Totalscore
308,3900착한초밥,3.9,18,15,https://place.map.kakao.com/1465489061,서울 노원구 광운로1길 26,월계동 497-5,"초밥,롤",37.6190613,127.0563573,2,B,1,84.24
316,베트남노상식당 광운대점,3.8,13,15,https://place.map.kakao.com/133766057,0,월계동 925,동남아음식,37.6218076,127.0603111,5,B,1,59.28
341,친친,3.8,12,2,https://place.map.kakao.com/27475357,서울 노원구 석계로18길 10-9 2층,월계동 379-2,중화요리,37.6235883,127.0608982,1,B,1,54.72
310,스타벅스 월계역점,2.9,15,6,https://place.map.kakao.com/1516356548,서울 노원구 초안산로2라길 26 104~106호,월계동 635-6,커피전문점,37.6294155,127.0574284,4,B,1,21.75
332,애슐리퀸즈 이마트월계점,2.6,16,59,https://place.map.kakao.com/680801617,서울 노원구 마들로3길 15 이마트월계점 1층 애슐리퀸즈,월계동 333-1,패밀리레스토랑,37.62644,127.0619091,3,B,1,20.8
318,스시쟁이,2.8,14,10,https://place.map.kakao.com/26502291,서울 노원구 석계로 18,월계동 64-9,"초밥,롤",37.61639359999999,127.0644332,2,B,1,19.6
379,커피나무,2.9,11,0,https://place.map.kakao.com/1030306506,서울 노원구 화랑로 325,월계동 50,커피전문점,37.6151692,127.0634212,4,B,1,15.95
312,투썸플레이스 석계역점,2.4,13,6,https://place.map.kakao.com/18513082,서울 노원구 석계로1길 10 2층,월계동 58-2,커피전문점,37.6155882,127.0640979,4,B,1,9.36
378,교촌치킨 석계역점,1.7,13,4,https://place.map.kakao.com/16051747,서울 노원구 석계로 31,월계동 73-13,치킨,37.6175018,127.0638541,0,B,1,6.63
323,서초우동 광운대역점,4.9,8,4,https://place.map.kakao.com/21556473,서울 노원구 석계로18길 23,월계동 382-3,"돈까스,우동",37.62385769999999,127.0607872,0,B,0,58.8
385,향원,4.1,10,1,https://place.map.kakao.com/19032295,서울 노원구 석계로 27,월계동 73-17,중화요리,37.6172562,127.0638991,1,B,0,53.3
370,마포연탄불고기,4.4,9,5,https://place.map.kakao.com/21353407,서울 노원구 석계로18길 4,월계동 379-25,"불고기,두루치기",37.6232258,127.0605334,0,B,0,51.48
354,하다식당 월계직영점,4.3,9,12,https://place.map.kakao.com/727616311,서울 노원구 초안산로2길 122 1층,월계동 271-23,"돈까스,우동",37.6338021,127.0582658,0,B,0,50.31
398,리드브레드 석계역점,4.4,8,9,https://place.map.kakao.com/741643395,서울 노원구 화랑로 353 1층,월계동 26-18,"제과,베이커리",37.6154081,127.0669636,4,B,0,45.76
311,서민초밥,3.8,10,37,https://place.map.kakao.com/417526658,서울 노원구 석계로3길 17,월계동 55-8,"초밥,롤",37.6158483,127.0636041,2,B,0,45.6
359,신연마라탕,4.3,8,6,https://place.map.kakao.com/364066914,서울 노원구 광운로 35,월계동 402-18,중식,37.62066890000001,127.0586353,1,B,0,44.72
347,샐러드조이,4.8,6,47,https://place.map.kakao.com/87024728,서울 노원구 초안산로2라길 31 BS빌딩 2층,월계동 276-18,카페,37.6311433,127.0581747,4,B,0,43.2
356,아빵,4.1,8,10,https://place.map.kakao.com/27550729,서울 노원구 초안산로2라길 13,월계동 655-14,"제과,베이커리",37.6316399,127.0573935,4,B,0,42.64
335,미가양꼬치,4.7,6,5,https://place.map.kakao.com/13027304,서울 노원구 석계로 13-3 1층,월계동 63-7,양꼬치,37.6159043,127.0642004,1,B,0,42.3
439,현덕육회,4.7,6,3,https://place.map.kakao.com/1431936902,서울 노원구 화랑로47길 4,월계동 26-19,"육류,고기",37.6155352,127.0668555,0,B,0,42.3
360,파리바게뜨 석계역점,4.5,6,77,https://place.map.kakao.com/21656626,"서울 노원구 마들로 31 상가동 107,108,148호",월계동 18,"제과,베이커리",37.6176466,127.0685939,4,B,0,40.5
327,오메가생선구이 본점,4.3,7,17,https://place.map.kakao.com/17271272,서울 노원구 화랑로 343,월계동 38-6,"해물,생선",37.6152321,127.0660166,0,B,0,39.13
343,호호커피집,4.3,7,11,https://place.map.kakao.com/16421234,"서울 노원구 화랑로 337-21 1층, 2층",월계동 62-7,커피전문점,37.6158453,127.0649328,4,B,0,39.13
352,화돌농장,4.3,7,0,https://place.map.kakao.com/26849111,서울 노원구 광운로 133,월계동 297,"육류,고기",37.6282142,127.0579624,0,B,0,39.13
443,본죽 월계점,5.0,5,0,https://place.map.kakao.com/15183424,서울 노원구 월계로 370 희성프라자 1층 126호,월계동 321-2,죽,37.6308761,127.0610421,0,B,0,37.5
