,Name,Score,Numberofscore,Review,Link,Addr,lat,lng
39,노원왕곱창,2.1,14,60,https://place.map.kakao.com/26898894,"
서울 노원구 상계로 90 마블러스2 1층
(지번) 상계동 341-15
",37.6587754,127.0684857
40,비손샤브칼국수 수락산점,4.4,15,53,https://place.map.kakao.com/1012609060,"
서울 노원구 동일로 1660 2층 202호
(지번) 상계동 1132-35
",37.6765234,127.0556617
41,한우가,4.5,4,6,https://place.map.kakao.com/448912210,"
서울 노원구 노해로 517 굿모닝빌딩 1층
(지번) 상계동 323-16
",37.6548036,127.0570076
42,전민규의황제누룽지탕 노원직영점,3.1,17,20,https://place.map.kakao.com/9924087,"
서울 노원구 노해로77길 14-8 1~2층
(지번) 상계동 710-3
",37.6546907,127.0596237
43,롤링파스타 노원역점,2.9,21,90,https://place.map.kakao.com/1165409110,"
서울 노원구 상계로 70 화랑빌딩 2층 1호
(지번) 상계동 598-2
",37.6557476,127.0622921
44,고집불통강곱창 노원점,4.3,10,57,https://place.map.kakao.com/14098947,"
서울 노원구 노해로83길 18-5
(지번) 상계동 341-8
",37.6560919,127.0645065
45,중원,3.0,12,41,https://place.map.kakao.com/1382921458,"
서울 노원구 동일로242가길 36 1층
(지번) 상계동 1115-31
",37.6775039,127.0561401
46,평양칼국수,3.2,33,31,https://place.map.kakao.com/9532967,"
서울 노원구 동일로 1652 1층
(지번) 상계동 1119-24
",37.6756997,127.0555338
47,홍익짬뽕 노원2호점,4.6,23,34,https://place.map.kakao.com/1365118901,"
서울 노원구 노해로83길 21
(지번) 상계동 340-6
",37.6561446,127.0641081
48,스타벅스 노원역점,2.9,22,29,https://place.map.kakao.com/19469879,"
서울 노원구 동일로 1413 남성빌딩 1층
(지번) 상계동 712
",37.6547199,127.0599868
49,일심해장국 상계점,3.5,6,206,https://place.map.kakao.com/20743795,"
서울 노원구 노원로34길 58
(지번) 상계동 430-22
",37.6613963,127.0658851
50,예향정 노원점,3.5,13,30,https://place.map.kakao.com/140377526,"
서울 노원구 동일로217가길 31 청화빌딩 2층
(지번) 상계동 735-4
",37.6531212,127.0586134
51,이규민달인보쌈집 본점,4.1,15,40,https://place.map.kakao.com/20018277,"
서울 노원구 동일로 1598 부흥빌딩 지하1층
(지번) 상계동 964-5
",37.6709957,127.0564034
52,현경양고기,4.4,21,67,https://place.map.kakao.com/1857841704,"
서울 노원구 상계로3길 21 202호
(지번) 상계동 593-1
",37.657176,127.0622614
53,쭈꾸미달인 노원직영점,3.2,9,187,https://place.map.kakao.com/26904390,"
서울 노원구 상계로 71-1 1층
(지번) 상계동 595
",37.6566014,127.0629736
