,Name,Score,Numberofscore,Review,Link,Addr,Typename,lat,lng,Typenum
41,이층소정육식당 상계역점,2.5,2,45,https://place.map.kakao.com/258630503,서울 노원구 한글비석로 369 2층,"육류,고기",37.6583651,127.0739732,0
42,리차이나,3.2,10,13,https://place.map.kakao.com/26547607,서울 노원구 동일로203가길 29 브라운스톤 279호,중화요리,37.6400147,127.0642892,1
43,군자대한곱창 중계점,5.0,6,35,https://place.map.kakao.com/1822344286,서울 노원구 중계로 201 오성프라자 1층,"곱창,막창",37.6504368,127.0777536,0
44,커피빈 중계동은행사거리점,2.3,3,4,https://place.map.kakao.com/26624130,서울 노원구 한글비석로 263 성모빌딩 1층,커피전문점,37.6511746,127.0764616,4
45,홍연집 상계역점,2.2,5,25,https://place.map.kakao.com/27478815,서울 노원구 덕릉로83길 19-5,회,37.6597554,127.0742008,0
46,도미노피자 중계점,1.8,5,5,https://place.map.kakao.com/7832343,서울 노원구 한글비석로8길 29 중계주공6단지 상가 102호,피자,37.648128,127.079395,3
47,스시락,3.6,11,6,https://place.map.kakao.com/20099642,서울 노원구 한글비석로 269,"초밥,롤",37.6516789,127.0767715,2
48,중계수산,3.5,4,7,https://place.map.kakao.com/1099388561,서울 노원구 덕릉로 686,일식집,37.6587655,127.0753929,2
49,봄날카페,5.0,2,3,https://place.map.kakao.com/964891721,서울 노원구 중계로18길 13,커피전문점,37.6512732,127.0777829,4
50,포레스트담,2.0,3,6,https://place.map.kakao.com/22510150,서울 노원구 중계로 218,양식,37.6508113,127.0759834,3
51,인상적,4.2,5,26,https://place.map.kakao.com/1673662721,서울 노원구 덕릉로83길 20-7 지하1층,와인바,37.6604727,127.0743347,3
52,싹쓰리솥뚜껑김치삼겹살 중계점,4.0,8,9,https://place.map.kakao.com/1691544625,서울 노원구 중계로 129,삼겹살,37.6465989,127.0805852,0
53,족발야시장 상계역점,4.2,18,117,https://place.map.kakao.com/2147100552,서울 노원구 한글비석로22길 40 1층,"족발,보쌈",37.6611441,127.0742379,0
54,역전할머니맥주 서울상계역점,5.0,1,7,https://place.map.kakao.com/250122602,서울 노원구 한글비석로20길 29,"호프,요리주점",37.6604515,127.0739235,5
55,버거톤 중계점,3.0,15,5,https://place.map.kakao.com/27596619,서울 노원구 섬밭로 258 건영백화점 1층,햄버거,37.63914,127.063972,3
56,소문난 감자탕뼈해장국,3.2,6,9,https://place.map.kakao.com/13287922,서울 노원구 덕릉로 694,감자탕,37.6595401,127.0755952,0
57,설도 중계점,5.0,2,2,https://place.map.kakao.com/1401934696,서울 노원구 덕릉로 665-1 1층,"육류,고기",37.6570193,127.0744796,0
58,신의주찹쌀순대 중계동점,2.4,14,21,https://place.map.kakao.com/13096742,"서울 노원구 동일로203가길 29 1층 144,145호",순대,37.6393876,127.0642707,0
59,500소갈비살 상계역점,0.0,0,13,https://place.map.kakao.com/253049752,서울 노원구 덕릉로83길 14-7,갈비,37.6602869,127.0746566,0
60,서원,4.2,6,0,https://place.map.kakao.com/65946463,서울 노원구 덕릉로 692,갈비,37.6593614,127.0756621,0
61,대머리곱창 중계점,3.8,5,7,https://place.map.kakao.com/357421900,서울 노원구 동일로 1279,"곱창,막창",37.6420655,127.0640457,0
62,3km,3.4,7,5,https://place.map.kakao.com/1584319026,서울 노원구 중계로19길 48,"호프,요리주점",37.6483727,127.0787833,5
63,예가,4.3,3,7,https://place.map.kakao.com/16620366,서울 노원구 중계로8길 11,추어,37.64594880000001,127.0826092,0
64,우서목김밥,3.2,10,3,https://place.map.kakao.com/626332689,서울 노원구 중계로 202,분식,37.6507596,127.0777847,0
65,노랑통닭 중계점,3.7,3,55,https://place.map.kakao.com/1579088698,서울 노원구 한글비석로 245 두타빌 B동 1층,치킨,37.6495775,127.076352,0
66,맨시니스,3.7,6,8,https://place.map.kakao.com/364787817,서울 노원구 한글비석로22길 28 예원빌딩 4층,카페,37.6606817,127.0737586,4
67,교촌치킨 중계2호점,1.4,10,2,https://place.map.kakao.com/19147149,서울 노원구 덕릉로 721 정진빌라 1층,치킨,37.6620064,127.0755034,0
68,토다이 중계점(휴업중),2.1,11,34,https://place.map.kakao.com/15107601,서울 노원구 섬밭로 258 건영백화점 4층,해산물뷔페,37.63914,127.063972,0
69,라화쿵부 상계역점,4.4,7,6,https://place.map.kakao.com/718586106,서울 노원구 덕릉로83길 17 2층,중식,37.659948,127.0742879,1
70,지지고 은행사거리점,5.0,3,2,https://place.map.kakao.com/1166916322,서울 노원구 한글비석로 265 영광프라자 104호,도시락,37.6515201,127.076658,0
71,배스킨라빈스 중계브라운스톤점,2.4,5,2,https://place.map.kakao.com/12255580,서울 노원구 동일로203가길 29,아이스크림,37.6393876,127.0642707,0
72,설빙 중계은행사거리점,3.0,2,4,https://place.map.kakao.com/26644177,서울 노원구 중계로 218 원광빌딩 201호,디저트카페,37.6527131,127.0756028,4
73,춘천골닭갈비,0.0,0,7,https://place.map.kakao.com/1957292276,서울 노원구 덕릉로83길 15 1층,닭요리,37.6598165,127.0744131,0
74,BHC치킨 상계역점,5.0,5,0,https://place.map.kakao.com/2070591387,서울 노원구 덕릉로87길 13,치킨,37.6606132,127.0749008,0
75,키즈앤팡 중계점,4.0,2,3,https://place.map.kakao.com/416680587,서울 노원구 중계로12가길 2 선인빌딩 4층,키즈카페,37.6473276,127.0820619,4
76,하남돼지집 중계은행점,1.0,1,17,https://place.map.kakao.com/25161938,서울 노원구 한글비석로 271 1층,삼겹살,37.6519368,127.0770403,0
77,해신횟집,4.0,6,4,https://place.map.kakao.com/16679449,서울 노원구 덕릉로83길 20-4,참치회,37.66026770000001,127.0745016,0
78,춘천최부자숯불닭갈비 상계점,0.0,0,16,https://place.map.kakao.com/1898315427,서울 노원구 덕릉로83길 10 1층,닭요리,37.6599353,127.0748525,0
79,교촌치킨 중계1호점,3.2,5,1,https://place.map.kakao.com/8229796,서울 노원구 한글비석로 245,치킨,37.649542,127.0763583,0
80,맘스터치 상계역점,2.9,8,4,https://place.map.kakao.com/558704688,서울 노원구 덕릉로83길 26 2층,패스트푸드,37.6602831,127.074048,3
81,삼정종합어시장,3.3,3,13,https://place.map.kakao.com/1442356939,서울 노원구 덕릉로83길 15 1층,회,37.6598165,127.0744131,0
82,노원상계서서갈비,5.0,2,2,https://place.map.kakao.com/23786499,서울 노원구 한글비석로20길 56,갈비,37.6614217,127.0748125,0
83,BHC치킨 중계점,2.3,15,3,https://place.map.kakao.com/26828958,서울 노원구 동일로 1280 상가동 지하층 06호 ,치킨,37.6428027,127.0664601,0
