Name,Score,Numberofscore,Review,Link,Addr,Typename
싹쓰리솥뚜껑김치삼겹살 중계점,4.0,8,9,https://place.map.kakao.com/1691544625,서울 노원구 중계로 129,삼겹살
족발야시장 상계역점,4.2,18,117,https://place.map.kakao.com/2147100552,서울 노원구 한글비석로22길 40 1층,"족발,보쌈"
역전할머니맥주 서울상계역점,5.0,1,7,https://place.map.kakao.com/250122602,서울 노원구 한글비석로20길 29,"호프,요리주점"
버거톤 중계점,3.0,15,5,https://place.map.kakao.com/27596619,서울 노원구 섬밭로 258 건영백화점 1층,햄버거
소문난 감자탕뼈해장국,3.2,6,9,https://place.map.kakao.com/13287922,서울 노원구 덕릉로 694,감자탕
설도 중계점,5.0,2,2,https://place.map.kakao.com/1401934696,서울 노원구 덕릉로 665-1 1층,"육류,고기"
신의주찹쌀순대 중계동점,2.4,14,21,https://place.map.kakao.com/13096742,"서울 노원구 동일로203가길 29 1층 144,145호",순대
500소갈비살 상계역점,0.0,0,13,https://place.map.kakao.com/253049752,서울 노원구 덕릉로83길 14-7,갈비
서원,4.2,6,0,https://place.map.kakao.com/65946463,서울 노원구 덕릉로 692,갈비
대머리곱창 중계점,3.8,5,7,https://place.map.kakao.com/357421900,서울 노원구 동일로 1279,"곱창,막창"
3km,3.4,7,5,https://place.map.kakao.com/1584319026,서울 노원구 중계로19길 48,"호프,요리주점"
예가,4.3,3,7,https://place.map.kakao.com/16620366,서울 노원구 중계로8길 11,추어
우서목김밥,3.2,10,3,https://place.map.kakao.com/626332689,서울 노원구 중계로 202,분식
노랑통닭 중계점,3.7,3,55,https://place.map.kakao.com/1579088698,서울 노원구 한글비석로 245 두타빌 B동 1층,치킨
맨시니스,3.7,6,8,https://place.map.kakao.com/364787817,서울 노원구 한글비석로22길 28 예원빌딩 4층,카페
교촌치킨 중계2호점,1.4,10,2,https://place.map.kakao.com/19147149,서울 노원구 덕릉로 721 정진빌라 1층,치킨
토다이 중계점(휴업중),2.1,11,34,https://place.map.kakao.com/15107601,서울 노원구 섬밭로 258 건영백화점 4층,해산물뷔페
라화쿵부 상계역점,4.4,7,6,https://place.map.kakao.com/718586106,서울 노원구 덕릉로83길 17 2층,중식
지지고 은행사거리점,5.0,3,2,https://place.map.kakao.com/1166916322,서울 노원구 한글비석로 265 영광프라자 104호,도시락
배스킨라빈스 중계브라운스톤점,2.4,5,2,https://place.map.kakao.com/12255580,서울 노원구 동일로203가길 29,아이스크림
설빙 중계은행사거리점,3.0,2,4,https://place.map.kakao.com/26644177,서울 노원구 중계로 218 원광빌딩 201호,디저트카페
춘천골닭갈비,0.0,0,7,https://place.map.kakao.com/1957292276,서울 노원구 덕릉로83길 15 1층,닭요리
BHC치킨 상계역점,5.0,5,0,https://place.map.kakao.com/2070591387,서울 노원구 덕릉로87길 13,치킨
키즈앤팡 중계점,4.0,2,3,https://place.map.kakao.com/416680587,서울 노원구 중계로12가길 2 선인빌딩 4층,키즈카페
하남돼지집 중계은행점,1.0,1,17,https://place.map.kakao.com/25161938,서울 노원구 한글비석로 271 1층,삼겹살
해신횟집,4.0,6,4,https://place.map.kakao.com/16679449,서울 노원구 덕릉로83길 20-4,참치회
춘천최부자숯불닭갈비 상계점,0.0,0,16,https://place.map.kakao.com/1898315427,서울 노원구 덕릉로83길 10 1층,닭요리
교촌치킨 중계1호점,3.2,5,1,https://place.map.kakao.com/8229796,서울 노원구 한글비석로 245,치킨
맘스터치 상계역점,2.9,8,4,https://place.map.kakao.com/558704688,서울 노원구 덕릉로83길 26 2층,패스트푸드
삼정종합어시장,3.3,3,13,https://place.map.kakao.com/1442356939,서울 노원구 덕릉로83길 15 1층,회
노원상계서서갈비,5.0,2,2,https://place.map.kakao.com/23786499,서울 노원구 한글비석로20길 56,갈비
BHC치킨 중계점,2.3,15,3,https://place.map.kakao.com/26828958,서울 노원구 동일로 1280 상가동 지하층 06호 ,치킨
조마루 상계역점,3.0,2,7,https://place.map.kakao.com/27300727,서울 노원구 덕릉로 705,감자탕
고피자 중계학원가점,4.0,6,6,https://place.map.kakao.com/441150220,서울 노원구 한글비석로 250 그린코아빌딩 115호,피자
