Name,Score,Numberofscore,Review,Link,Addr1,Addr2,Typename
광고온고을,3.2,5,6,https://place.map.kakao.com/16472635,서울 노원구 동일로 1065,공릉동 398-5,한식
라라브레드 공릉점,3.8,69,365,https://place.map.kakao.com/872257394,서울 노원구 공릉로41길 32,공릉동 350-24,디저트카페
경복식당,4.7,109,132,https://place.map.kakao.com/16414503,서울 노원구 공릉로39길 10,공릉동 740,한식
공릉본점닭한마리 본점,3.9,49,75,https://place.map.kakao.com/20553565,서울 노원구 동일로 1020,공릉동 577-10,닭요리
제일콩집,3.6,55,82,https://place.map.kakao.com/8083654,서울 노원구 동일로174길 37-8,공릉동 633-18,두부전문점
에그머니,4.3,39,162,https://place.map.kakao.com/1826529353,서울 노원구 화랑로 421,공릉동 683-14,양식
쪼매매운떡볶이 공릉점,4.5,80,123,https://place.map.kakao.com/16703995,서울 노원구 공릉로 208,공릉동 208-18,떡볶이
소문난멸치국수,3.3,48,83,https://place.map.kakao.com/13305804,서울 노원구 동일로173가길 81,공릉동 571-16,국수
경회루,3.6,15,49,https://place.map.kakao.com/18722630,서울 노원구 동일로 1005 지하1층,공릉동 597-17,한정식
기찻길풍경야채곱창,3.2,28,148,https://place.map.kakao.com/1137642618,서울 노원구 공릉로39길 21 1층,공릉동 351-1,"곱창,막창"
원조이모네연탄불곱창,2.3,42,58,https://place.map.kakao.com/21412672,서울 노원구 동일로192길 46,공릉동 392-2,"곱창,막창"
아소코 공릉점,3.3,29,55,https://place.map.kakao.com/2013086833,서울 노원구 동일로184길 53 1층,공릉동 509-41,일식집
상상과자점,3.9,28,95,https://place.map.kakao.com/1571140539,서울 노원구 동일로186길 77-7,공릉동 504-15,디저트카페
참만나,4.3,9,21,https://place.map.kakao.com/20749857,서울 노원구 화랑로 443 디벨리움 3층,공릉동 670-7,갈비
핏짜굽는언니 공릉점,3.0,33,55,https://place.map.kakao.com/21525800,서울 노원구 동일로198길 58 1층,공릉동 431-4,피자
따미커피,4.7,24,15,https://place.map.kakao.com/818423534,서울 노원구 공릉로 120,공릉동 644-24,커피전문점
던모스,2.7,26,132,https://place.map.kakao.com/1520080778,서울 노원구 공릉로27길 8 1층,공릉동 320-107,카페
바네하임,3.7,18,3,https://place.map.kakao.com/16999919,서울 노원구 공릉로32길 54 고려빌딩 1층,공릉2동 240-19,"호프,요리주점"
카페드미셸,2.5,21,56,https://place.map.kakao.com/990866386,"서울 노원구 화랑로 441 미라쉘 1,2층",공릉동 670-25,카페
스타벅스 공릉DT점,3.0,29,44,https://place.map.kakao.com/1826125340,서울 노원구 동일로 1015,공릉동 597-34,커피전문점
멍텅구리즉석떡볶이 공릉점,2.5,18,73,https://place.map.kakao.com/27515257,서울 노원구 공릉로51길 14-2,공릉동 439-2,떡볶이
표준커피,4.5,20,68,https://place.map.kakao.com/153487369,서울 노원구 공릉로 119-5 이지스퀘어 1층,공릉동 589-21,카페
(주)태릉풍천장어,2.2,6,26,https://place.map.kakao.com/1653381358,서울 노원구 화랑로 457,공릉동 661-7,장어
무드쉐어,3.9,29,60,https://place.map.kakao.com/1338966452,서울 노원구 공릉로 119-23 1층 101호,공릉동 589-16,카페
경성초밥,4.6,31,61,https://place.map.kakao.com/1169910256,서울 노원구 공릉로 119-5,공릉동 589-21,일식
화로상회 공릉점,5.0,7,39,https://place.map.kakao.com/1677550004,서울 노원구 공릉로46길 6 현대프라자 1층 111호,공릉동 421-19,"육류,고기"
동학,4.4,8,37,https://place.map.kakao.com/16329163,서울 노원구 공릉로51길 6 1층,공릉동 439-15,"호프,요리주점"
위플랜트위커피,3.4,8,135,https://place.map.kakao.com/206091656,서울 노원구 동일로178길 59-39 2층,공릉동 587-1,커피전문점
플랫커피,3.4,16,55,https://place.map.kakao.com/975733166,서울 노원구 공릉로39길 20 1층,공릉동 349-8,커피전문점
공릉동도깨비,3.6,15,62,https://place.map.kakao.com/1675562479,서울 노원구 동일로178길 14,공릉동 593-3,이탈리안
횡성한우정육백화점,4.4,12,68,https://place.map.kakao.com/20746565,서울 노원구 공릉로 162,공릉동 345-1,"육류,고기"
