Name,Score,Numberofscore,Review,Link,Addr1,Addr2,Typename
예향정 노원점,3.5,13,31,https://place.map.kakao.com/140377526,서울 노원구 동일로217가길 31 청화빌딩 2층,상계동 735-4,한식
홍익짬뽕 노원2호점,4.5,24,34,https://place.map.kakao.com/1365118901,서울 노원구 노해로83길 21,상계동 340-6,중화요리
평양칼국수,3.2,33,32,https://place.map.kakao.com/9532967,서울 노원구 동일로 1652 1층,상계동 1119-24,국수
이규민달인보쌈집 본점,4.1,15,40,https://place.map.kakao.com/20018277,서울 노원구 동일로 1598 부흥빌딩 지하1층,상계동 964-5,"족발,보쌈"
스타벅스 노원역점,2.9,22,27,https://place.map.kakao.com/19469879,서울 노원구 동일로 1413 남성빌딩 1층,상계동 712,커피전문점
쭈꾸미달인 노원직영점,3.2,9,187,https://place.map.kakao.com/26904390,서울 노원구 상계로 71-1 1층,상계동 595,"해물,생선"
현경양고기,4.4,21,68,https://place.map.kakao.com/1857841704,서울 노원구 상계로3길 21 202호,상계동 593-1,양꼬치
독도게찜,3.7,21,76,https://place.map.kakao.com/432768483,서울 노원구 동일로242가길 50,상계동 1131-37,"게,대게"
스타벅스 노원마들역점,4.4,13,17,https://place.map.kakao.com/2080972721,서울 노원구 노원로 569 임광아파트상가,상계동 694,커피전문점
사랑회수산,5.0,2,16,https://place.map.kakao.com/26539020,서울 노원구 상계로 104 1층,상계동 369-5,회
스타벅스 상계초교사거리점,4.7,15,25,https://place.map.kakao.com/1800821127,서울 노원구 노원로 449,상계동 372-16,커피전문점
몽실디저트,4.3,14,55,https://place.map.kakao.com/1513264138,서울 노원구 상계로 51 노원프라자빌딩 1층 105호,상계동 693-1,"제과,베이커리"
맥도날드 상계DT점,3.7,28,13,https://place.map.kakao.com/26357904,서울 노원구 동일로 1612,상계동 1022,패스트푸드
세컨플로어,4.0,7,55,https://place.map.kakao.com/470119969,서울 노원구 상계로1길 8 대유빌딩 2층 206호,상계동 603-14,카페
노원족발,3.3,4,21,https://place.map.kakao.com/23495499,서울 노원구 노해로85길 14,상계동 324-4,"족발,보쌈"
가양양꼬치,4.1,9,27,https://place.map.kakao.com/14879333,서울 노원구 노해로85길 1 2층,상계동 323-29,양꼬치
이자와 노원점,3.7,21,29,https://place.map.kakao.com/1965352886,서울 노원구 상계로 76 정암빌딩 2층 201호,상계동 335,일식
일번지소한마리정육식당 노원본점,3.3,3,18,https://place.map.kakao.com/24793608,서울 노원구 상계로3길 32 1층,상계동 592-5,"육류,고기"
나승준함흥냉면,3.9,14,19,https://place.map.kakao.com/26792775,서울 노원구 상계로 97 위너스빌딩 1층 104호,상계동 366-3,냉면
활어의전설 노원점,3.0,6,15,https://place.map.kakao.com/311184645,서울 노원구 노해로81길 12-33 1층,상계동 332-4,회
피노키오냉면,3.8,20,64,https://place.map.kakao.com/13499443,서울 노원구 한글비석로 480 보람상가 2층,상계동 639,냉면
천하뼈다귀감자탕,2.2,10,29,https://place.map.kakao.com/10853199,서울 노원구 동일로 1595,상계동 963-1,감자탕
스타벅스 중계역점,3.3,9,19,https://place.map.kakao.com/20046343,서울 노원구 동일로 1339 대한빌딩,상계동 763-3,커피전문점
