Name,Score,Review,Link,Addr
와플팝,5.0,1,https://place.map.kakao.com/574585945,"
서울 노원구 초안산로2라길 17 1층
(지번) 월계동 272-31
"
하다식당 월계직영점,4.3,10,https://place.map.kakao.com/727616311,"
서울 노원구 초안산로2길 122 1층
(지번) 월계동 271-23
"
파리바게뜨 석계역점,4.5,84,https://place.map.kakao.com/21656626,"
서울 노원구 마들로 31 상가동 107,108,148호
(지번) 월계동 18
"
롯데리아 석계점,1.8,0,https://place.map.kakao.com/7857648,"
서울 노원구 화랑로 325
(지번) 월계동 50-29
"
장어구이셀프타운,3.5,9,https://place.map.kakao.com/20740538,"
서울 노원구 화랑로45길 40
(지번) 월계동 21-34
"
도미노피자 월계점,4.3,1,https://place.map.kakao.com/26815517,"
서울 노원구 광운로 52
(지번) 월계동 409-16
"
아빵,4.4,10,https://place.map.kakao.com/27550729,"
서울 노원구 초안산로2라길 13
(지번) 월계동 655-14
"
노란오빠생각,1.0,0,https://place.map.kakao.com/980550235,"
서울 노원구 화랑로 337
(지번) 월계동 46-1
"
화돌농장,4.3,0,https://place.map.kakao.com/26849111,"
서울 노원구 광운로 133
(지번) 월계동 297
"
보리보리 옥선이시골밥상,1.7,5,https://place.map.kakao.com/11814895,"
서울 노원구 월계로55길 64
(지번) 월계동 320-4
"
엘가커피 석계점,3.0,7,https://place.map.kakao.com/24693403,"
서울 노원구 석계로1길 22
(지번) 월계동 54-1
"
빽다방 광운대점,4.3,4,https://place.map.kakao.com/27094505,"
서울 노원구 광운로 43 로얄포토빌딩 1층
(지번) 월계동 393-14
"
써브웨이 광운대역점,1.9,7,https://place.map.kakao.com/2024470096,"
서울 노원구 광운로 57
(지번) 월계동 383-16
"
스타벅스 월계트레이더스점,5.0,7,https://place.map.kakao.com/780657144,"
서울 노원구 마들로3길 17
(지번) 월계동 333-1
"
소문난곱창,4.7,4,https://place.map.kakao.com/13287923,"
서울 노원구 석계로7길 12-8 1층
(지번) 월계동 68-25
"
용궁중화요리,2.0,9,https://place.map.kakao.com/8458383,"
서울 노원구 월계로 325
(지번) 월계2동 600
"
꿈의김밥,4.0,1,https://place.map.kakao.com/866759727,"
서울 노원구 석계로3길 41 1층
(지번) 월계동 485-5
"
카페베르데 광운대본점,4.0,1,https://place.map.kakao.com/16298833,"
서울 노원구 광운로 17-3 1층
(지번) 월계동 496-4
"
BHC치킨 월계스타점,4.2,1,https://place.map.kakao.com/1219738630,"
서울 노원구 초안산로2라길 19 201호
(지번) 월계동 274-46
"
마포연탄불고기,4.4,5,https://place.map.kakao.com/21353407,"
서울 노원구 석계로18길 4
(지번) 월계동 379-25
"
메가커피 석계역점,1.7,1,https://place.map.kakao.com/931744501,"
서울 노원구 화랑로 337 1층 103호
(지번) 월계동 46-1
"
교촌치킨 석계역점,1.8,4,https://place.map.kakao.com/16051747,"
서울 노원구 석계로 31
(지번) 월계동 73-13
"
커피나무,3.0,0,https://place.map.kakao.com/1030306506,"
서울 노원구 화랑로 325
(지번) 월계동 50
"
백채김치찌개 석계점,3.3,13,https://place.map.kakao.com/27441093,"
서울 노원구 석계로3길 17
(지번) 월계동 55-8
"
옥남집,5.0,3,https://place.map.kakao.com/27524740,"
서울 노원구 광운로 68
(지번) 월계동 379-43
"
이상봉 이참치,3.1,14,https://place.map.kakao.com/22320179,"
서울 노원구 석계로 21 2층
(지번) 월계동 68-20
"
배스킨라빈스 석계점,3.0,3,https://place.map.kakao.com/26794261,"
서울 노원구 석계로1길 10
(지번) 월계동 58-2
"
디델리 광운대점,3.0,11,https://place.map.kakao.com/16081384,"
서울 노원구 광운로 31
(지번) 월계동 465-9
"
향원,4.1,1,https://place.map.kakao.com/19032295,"
서울 노원구 석계로 27
(지번) 월계동 73-17
"
윤스쿡,4.8,14,https://place.map.kakao.com/2123663334,"
서울 노원구 광운로 29 2층
(지번) 월계동 465-10
"
피자굽는오빠 2호점,5.0,27,https://place.map.kakao.com/140659618,"
서울 노원구 초안산로5길 12
(지번) 월계동 776
"
