Name,Score,Numberofscore,Review,Link,Addr,Typename
참이맛감자탕 하계점,2.5,8,8,https://place.map.kakao.com/179589959,서울 노원구 한글비석로 24,감자탕
온천골,3.4,5,9,https://place.map.kakao.com/9945752,서울 노원구 노원로 254,한식
교촌치킨 하계1호점,3.2,6,1,https://place.map.kakao.com/16617677,서울 노원구 한글비석로 89 청구상가 201동 101호,치킨
맘스터치 노원하계점,3.3,6,3,https://place.map.kakao.com/306286759,서울 노원구 노원로 257,패스트푸드
이디야커피 하계을지점,3.8,6,0,https://place.map.kakao.com/2125679465,서울 노원구 공릉로 326,커피전문점
리즈,5.0,2,7,https://place.map.kakao.com/1343092290,서울 노원구 공릉로58길 87,카페
분식사,4.8,5,9,https://place.map.kakao.com/1903131027,서울 노원구 공릉로59길 15 웅천종합상가 116호,분식
제로포인트제로,5.0,6,17,https://place.map.kakao.com/1893856194,서울 노원구 공릉로62길 19 1층,카페
박가네왕족발보쌈,4.5,2,5,https://place.map.kakao.com/7896706,서울 노원구 한글비석로 24,"족발,보쌈"
낙지마당 하계점,3.0,2,6,https://place.map.kakao.com/1315879554,서울 노원구 공릉로70길 6,"해물,생선"
이삭토스트 서울하계점,3.0,2,2,https://place.map.kakao.com/12587622,서울 노원구 노원로 254 103호,토스트
스시조,2.5,4,4,https://place.map.kakao.com/912752933,서울 노원구 노원로 244 2층,일식
버거킹 하계점,0.0,0,0,https://place.map.kakao.com/2047416101,서울 노원구 노원로 236,패스트푸드
등나무집흑염소전문점,2.8,4,0,https://place.map.kakao.com/20743871,서울 노원구 한글비석로1길 21-1,"육류,고기"
돈까스가게,4.0,11,5,https://place.map.kakao.com/2000861638,서울 노원구 공릉로 304,"돈까스,우동"
캔모아,0.0,0,0,https://place.map.kakao.com/830992641,서울 노원구 공릉로 351 노원세이브존 지하1층,술집
전복한상,4.0,3,1,https://place.map.kakao.com/233902353,서울 노원구 한글비석로1길 27,"굴,전복"
단수이대왕카스테라,4.0,3,0,https://place.map.kakao.com/653404462,서울 노원구 섬밭로 196 상가동1층 112호,"제과,베이커리"
파리바게뜨 하계미성점,3.0,1,0,https://place.map.kakao.com/15178011,서울 노원구 공릉로59길 18 삼성씨티빌,"제과,베이커리"
마왕족발 하계점,4.5,2,3,https://place.map.kakao.com/1932725185,서울 노원구 섬밭로 196 장미아파트 6단지 상가 101-2,"족발,보쌈"
파리바게뜨 하계중앙점,1.0,1,0,https://place.map.kakao.com/12344288,서울 노원구 노원로 254 부광프라자 104호,"제과,베이커리"
푸라닭치킨 하계점,5.0,1,1,https://place.map.kakao.com/1448240289,서울 노원구 노원로 248,치킨
미락시골밥상,3.0,3,15,https://place.map.kakao.com/16063587,서울 노원구 공릉로65길 10,한식
이디야커피 하계온천점,0.0,0,1,https://place.map.kakao.com/1322523550,서울 노원구 노원로 257 1층 104호,커피전문점
목포세꼬시,4.0,4,0,https://place.map.kakao.com/16620056,서울 노원구 한글비석로 24,회
소문난순대국,2.7,7,2,https://place.map.kakao.com/16061472,서울 노원구 공릉로58길 87 101호,순대
BBQ 하계점,2.3,3,1,https://place.map.kakao.com/1005038269,서울 노원구 노원로 248 삼정이오니아오피스텔 1층,치킨
구르미베이비카페,0.0,0,3,https://place.map.kakao.com/65343669,서울 노원구 공릉로 358-5,카페
