Name,Score,Review,Link,Addr
샛별제과,4.6,49,https://place.map.kakao.com/1488538685,"
서울 노원구 상계로9길 23 101호
(지번) 상계동 397-4
"
화포식당 노원점,4.0,82,https://place.map.kakao.com/331097438,"
서울 노원구 상계로 72
(지번) 상계동 598-1
"
노원돈부리,4.4,60,https://place.map.kakao.com/709257368,"
서울 노원구 동일로 1343 동일프라자 101~103호
(지번) 상계동 763-7
"
아웃백스테이크하우스 노원점,3.7,156,https://place.map.kakao.com/16997192,"
서울 노원구 동일로 1419
(지번) 상계동 711-12
"
노원한우,3.3,158,https://place.map.kakao.com/1171557896,"
서울 노원구 동일로218길 35
(지번) 상계동 725-3
"
썸머타이,4.2,45,https://place.map.kakao.com/89011711,"
서울 노원구 노해로75길 14-25 동신빌딩 1층
(지번) 상계동 707-3
"
장천,3.5,129,https://place.map.kakao.com/229428334,"
서울 노원구 동일로217가길 11 2층 202호
(지번) 상계동 733-2
"
엄마손칼국수,4.0,48,https://place.map.kakao.com/16051532,"
서울 노원구 상계로39길 5
(지번) 상계동 111-478
"
커피베스코,4.4,33,https://place.map.kakao.com/17688746,"
서울 노원구 상계로 55 2층
(지번) 상계동 693-3
"
제임스키친,4.2,56,https://place.map.kakao.com/17005666,"
서울 노원구 노해로81길 12-26 2층
(지번) 상계동 328-9
"
VIPS DELIVERY 상계점,0.0,0,https://place.map.kakao.com/947650399,"
서울 노원구 상계로27길 12
(지번) 상계동 389-356
"
스윗레시피,3.3,121,https://place.map.kakao.com/231176219,"
서울 노원구 상계로1길 38 2층
(지번) 상계동 591-25
"
옛날칼국수,2.5,85,https://place.map.kakao.com/8015984,"
서울 노원구 동일로 1417
(지번) 상계동 711-13
"
노원왕곱창,2.1,60,https://place.map.kakao.com/26898894,"
서울 노원구 상계로 90 마블러스2 1층
(지번) 상계동 341-15
"
시즌,4.0,138,https://place.map.kakao.com/985778800,"
서울 노원구 상계로3길 38-2 2층
(지번) 상계동 358-6
"
노원목고기집,4.6,46,https://place.map.kakao.com/16056109,"
서울 노원구 상계로 96
(지번) 상계동 349-24
"
전민규의황제누룽지탕 노원직영점,3.1,20,https://place.map.kakao.com/9924087,"
서울 노원구 노해로77길 14-8 1~2층
(지번) 상계동 710-3
"
비손샤브칼국수 수락산점,4.4,54,https://place.map.kakao.com/1012609060,"
서울 노원구 동일로 1660 2층 202호
(지번) 상계동 1132-35
"
롤링파스타 노원역점,2.9,90,https://place.map.kakao.com/1165409110,"
서울 노원구 상계로 70 화랑빌딩 2층 1호
(지번) 상계동 598-2
"
한우가,4.5,6,https://place.map.kakao.com/448912210,"
서울 노원구 노해로 517 굿모닝빌딩 1층
(지번) 상계동 323-16
"
고집불통강곱창 노원점,4.3,58,https://place.map.kakao.com/14098947,"
서울 노원구 노해로83길 18-5
(지번) 상계동 341-8
"
평양칼국수,3.2,31,https://place.map.kakao.com/9532967,"
서울 노원구 동일로 1652 1층
(지번) 상계동 1119-24
"
중원,3.0,41,https://place.map.kakao.com/1382921458,"
서울 노원구 동일로242가길 36 1층
(지번) 상계동 1115-31
"
홍익짬뽕 노원2호점,4.6,34,https://place.map.kakao.com/1365118901,"
서울 노원구 노해로83길 21
(지번) 상계동 340-6
"
스타벅스 노원역점,2.9,29,https://place.map.kakao.com/19469879,"
서울 노원구 동일로 1413 남성빌딩 1층
(지번) 상계동 712
"
예향정 노원점,3.5,30,https://place.map.kakao.com/140377526,"
서울 노원구 동일로217가길 31 청화빌딩 2층
(지번) 상계동 735-4
"
일심해장국 상계점,3.5,207,https://place.map.kakao.com/20743795,"
서울 노원구 노원로34길 58
(지번) 상계동 430-22
"
이규민달인보쌈집 본점,4.1,41,https://place.map.kakao.com/20018277,"
서울 노원구 동일로 1598 부흥빌딩 지하1층
(지번) 상계동 964-5
"
현경양고기,4.4,67,https://place.map.kakao.com/1857841704,"
서울 노원구 상계로3길 21 202호
(지번) 상계동 593-1
"
독도게찜,3.7,76,https://place.map.kakao.com/432768483,"
서울 노원구 동일로242가길 50
(지번) 상계동 1131-37
"
스타벅스 노원마들역점,4.4,17,https://place.map.kakao.com/2080972721,"
서울 노원구 노원로 569 임광아파트상가
(지번) 상계동 694
"
쭈꾸미달인 노원직영점,3.2,187,https://place.map.kakao.com/26904390,"
서울 노원구 상계로 71-1 1층
(지번) 상계동 595
"
스타벅스 상계초교사거리점,4.7,25,https://place.map.kakao.com/1800821127,"
서울 노원구 노원로 449
(지번) 상계동 372-16
"
세컨플로어,4.0,55,https://place.map.kakao.com/470119969,"
서울 노원구 상계로1길 8 대유빌딩 2층 206호
(지번) 상계동 603-14
"
맥도날드 상계DT점,3.7,12,https://place.map.kakao.com/26357904,"
서울 노원구 동일로 1612
(지번) 상계동 1022
"
몽실디저트,4.3,53,https://place.map.kakao.com/1513264138,"
서울 노원구 상계로 51 노원프라자빌딩 1층 105호
(지번) 상계동 693-1
"
이자와 노원점,3.7,29,https://place.map.kakao.com/1965352886,"
서울 노원구 상계로 76 정암빌딩 2층 201호
(지번) 상계동 335
"
사랑회수산,5.0,17,https://place.map.kakao.com/26539020,"
서울 노원구 상계로 104 1층
(지번) 상계동 369-5
"
나승준함흥냉면,3.9,19,https://place.map.kakao.com/26792775,"
서울 노원구 상계로 97 위너스빌딩 1층 104호
(지번) 상계동 366-3
"
피노키오냉면,3.8,64,https://place.map.kakao.com/13499443,"
서울 노원구 한글비석로 480 보람상가 2층
(지번) 상계동 639
"
가양양꼬치,4.1,26,https://place.map.kakao.com/14879333,"
서울 노원구 노해로85길 1 2층
(지번) 상계동 323-29
"
천하뼈다귀감자탕,2.2,29,https://place.map.kakao.com/10853199,"
서울 노원구 동일로 1595
(지번) 상계동 963-1
"
일번지소한마리정육식당 노원본점,3.3,20,https://place.map.kakao.com/24793608,"
서울 노원구 상계로3길 32 1층
(지번) 상계동 592-5
"
활어의전설 노원점,3.0,15,https://place.map.kakao.com/311184645,"
서울 노원구 노해로81길 12-33 1층
(지번) 상계동 332-4
"
노원족발,3.3,21,https://place.map.kakao.com/23495499,"
서울 노원구 노해로85길 14
(지번) 상계동 324-4
"
유정한우소곱창,1.3,34,https://place.map.kakao.com/25808164,"
서울 노원구 노해로85길 10-2
(지번) 상계동 323-9
"
